# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-07 06:41:38 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02168504 SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02168504
#    DD parameter   Description
#    01   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    03   00060     Discharge, cubic feet per second
#    04   00065     Gage height, feet
#    05   00010     Temperature, water, degrees Celsius
#    16   00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00300	01_00300_cd	03_00060	03_00060_cd	04_00065	04_00065_cd	05_00010	05_00010_cd	16_00045	16_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02168504	2016-01-01 00:00	EST	7.4	P	17200	P	15.35	P	14.4	P	0.00	A
USGS	02168504	2016-01-01 00:15	EST			17100	P	15.30	P			0.00	A
USGS	02168504	2016-01-01 00:30	EST			17100	P	15.27	P			0.00	A
USGS	02168504	2016-01-01 00:45	EST			17000	P	15.21	P			0.00	A
USGS	02168504	2016-01-01 01:00	EST	7.3	P	16900	P	15.17	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 01:15	EST			16800	P	15.13	P			0.00	A
USGS	02168504	2016-01-01 01:30	EST			16800	P	15.11	P			0.00	A
USGS	02168504	2016-01-01 01:45	EST			16700	P	15.06	P			0.00	A
USGS	02168504	2016-01-01 02:00	EST	7.3	P	16700	P	15.02	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 02:15	EST			16600	P	15.00	P			0.00	A
USGS	02168504	2016-01-01 02:30	EST			16600	P	14.97	P			0.00	A
USGS	02168504	2016-01-01 02:45	EST			16600	P	14.96	P			0.00	A
USGS	02168504	2016-01-01 03:00	EST	7.3	P	16500	P	14.93	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 03:15	EST			16500	P	14.91	P			0.00	A
USGS	02168504	2016-01-01 03:30	EST			16500	P	14.91	P			0.00	A
USGS	02168504	2016-01-01 03:45	EST			16400	P	14.88	P			0.00	A
USGS	02168504	2016-01-01 04:00	EST	7.3	P	16400	P	14.89	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 04:15	EST			16400	P	14.89	P			0.00	A
USGS	02168504	2016-01-01 04:30	EST			16300	P	14.84	P			0.00	A
USGS	02168504	2016-01-01 04:45	EST			16400	P	14.85	P			0.00	A
USGS	02168504	2016-01-01 05:00	EST	7.2	P	16300	P	14.83	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 05:15	EST			16300	P	14.84	P			0.00	A
USGS	02168504	2016-01-01 05:30	EST			16300	P	14.83	P			0.00	A
USGS	02168504	2016-01-01 05:45	EST			16300	P	14.82	P			0.00	A
USGS	02168504	2016-01-01 06:00	EST	7.3	P	16300	P	14.81	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 06:15	EST			16300	P	14.82	P			0.00	A
USGS	02168504	2016-01-01 06:30	EST			16300	P	14.81	P			0.00	A
USGS	02168504	2016-01-01 06:45	EST			16300	P	14.79	P			0.00	A
USGS	02168504	2016-01-01 07:00	EST	7.3	P	16300	P	14.79	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 07:15	EST			16300	P	14.79	P			0.00	A
USGS	02168504	2016-01-01 07:30	EST			16300	P	14.80	P			0.00	A
USGS	02168504	2016-01-01 07:45	EST			16200	P	14.78	P			0.00	A
USGS	02168504	2016-01-01 08:00	EST	7.3	P	16200	P	14.78	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 08:15	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 08:30	EST			16200	P	14.76	P			0.00	A
USGS	02168504	2016-01-01 08:45	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 09:00	EST	7.2	P	16200	P	14.78	P	14.2	P	0.00	A
USGS	02168504	2016-01-01 09:15	EST			16200	P	14.78	P			0.00	A
USGS	02168504	2016-01-01 09:30	EST			16200	P	14.78	P			0.00	A
USGS	02168504	2016-01-01 09:45	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 10:00	EST	7.2	P	16200	P	14.78	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 10:15	EST			16200	P	14.76	P			0.00	A
USGS	02168504	2016-01-01 10:30	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 10:45	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 11:00	EST	7.2	P	16200	P	14.77	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 11:15	EST			16200	P	14.75	P			0.00	A
USGS	02168504	2016-01-01 11:30	EST			16200	P	14.77	P			0.00	A
USGS	02168504	2016-01-01 11:45	EST			16200	P	14.76	P			0.00	A
USGS	02168504	2016-01-01 12:00	EST	7.2	P	16200	P	14.74	P	14.3	P	0.00	A
USGS	02168504	2016-01-01 12:15	EST			17300	P	15.37	P			0.00	A
USGS	02168504	2016-01-01 12:30	EST					16.60	P			0.00	A
USGS	02168504	2016-01-01 12:45	EST					17.13	P			0.00	A
