# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-07 06:38:53 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02169000 SALUDA RIVER NEAR COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02169000
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#    03   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    04   00010     Temperature, water, degrees Celsius
#    23   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd	03_00300	03_00300_cd	04_00010	04_00010_cd	23_00095	23_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02169000	2016-01-01 00:00	EST	23900	P	8.89	P	7.8	P	15.0	P	72	P
USGS	02169000	2016-01-01 00:15	EST	23400	P	8.80	P	7.7	P	14.9	P	71	P
USGS	02169000	2016-01-01 00:30	EST	23000	P	8.74	P	7.6	P	14.9	P	71	P
USGS	02169000	2016-01-01 00:45	EST	22300	P	8.62	P	7.6	P	14.8	P	71	P
USGS	02169000	2016-01-01 01:00	EST	22000	P	8.56	P	7.6	P	14.8	P	72	P
USGS	02169000	2016-01-01 01:15	EST	21600	P	8.49	P	7.6	P	14.8	P	71	P
USGS	02169000	2016-01-01 01:30	EST	21300	P	8.43	P	7.5	P	14.8	P	71	P
USGS	02169000	2016-01-01 01:45	EST	21100	P	8.39	P	7.5	P	14.8	P	71	P
USGS	02169000	2016-01-01 02:00	EST	20700	P	8.33	P	7.5	P	14.8	P	71	P
USGS	02169000	2016-01-01 02:15	EST	20500	P	8.28	P	7.5	P	14.7	P	71	P
USGS	02169000	2016-01-01 02:30	EST	20200	P	8.23	P	7.5	P	14.7	P	71	P
USGS	02169000	2016-01-01 02:45	EST	20000	P	8.19	P	7.5	P	14.7	P	72	P
